Wall time,Step,Value
1534975635.667167,1,1.8245294094085693
1534976297.1758065,101,0.5555918216705322
1534976942.3520048,201,0.33151811361312866
1534977597.466167,301,0.4333702623844147
1534978243.1881845,401,0.39002761244773865
1534978895.6856804,501,0.30103591084480286
1534979537.1566255,601,0.37224775552749634
1534980178.6964345,701,0.3057776689529419
1534980822.0746176,801,0.20563045144081116
1534981459.6715076,901,0.13780240714550018
1534981864.383946,1001,0.25915855169296265
1534982534.0944629,1101,0.23224791884422302
1534983160.9531784,1201,0.3227105438709259
1534983791.0278378,1301,0.06197107583284378
1534984420.187339,1401,0.12865233421325684
1534985062.1564548,1501,0.1226663887500763
1534985702.818816,1601,0.23454847931861877
1534986343.7499473,1701,0.08384169638156891
1534986992.6811569,1801,0.04406525939702988
1534987629.1011467,1901,0.04410874843597412
