Wall time,Step,Value
1533419437.3917892,1,4.769934177398682
1533420176.23794,101,0.5348464250564575
1533420903.1346219,201,0.5603747367858887
1533421690.8366544,301,0.3567889630794525
1533422471.132155,401,0.33455151319503784
1533423211.925304,501,0.28016671538352966
1533423968.1675038,601,0.21852971613407135
1533424718.363741,701,0.11146967858076096
1533425462.1626983,801,0.07487860321998596
1533426199.404927,901,0.01463819108903408
1533426953.7515194,1001,0.04931436479091644
1533427957.4850807,1101,0.08672209084033966
1533428719.6520731,1201,0.04801325500011444
1533429498.322448,1301,0.06935004889965057
1533430258.7631333,1401,0.04522477462887764
1533431042.1472225,1501,0.02411823160946369
1533431803.2946646,1601,0.04102673754096031
1533432569.5420942,1701,0.03937655687332153
1533433311.183975,1801,0.03603135794401169
1533434065.486146,1901,0.006726507097482681
