bins,pdf
2.0,0.017329785988546953
3.0,0.01702946450613811
4.0,0.016734347530747186
5.0,0.016444344869381365
6.0,0.016159367892073128
7.0,0.015879329504793305
8.0,0.015604144122833617
9.0,0.015333727644650467
10.0,0.015067997426162008
11.0,0.014806872255490645
12.0,0.014550272328143238
13.0,0.01429811922262144
14.0,0.01405033587645468
15.0,0.01380684656264852
16.0,0.013567576866541114
17.0,0.013332453663060797
18.0,0.013101405094377737
19.0,0.012874360547942911
20.0,0.01265125063490767
21.0,0.01243200716891725
22.0,0.012216563145271832
23.0,0.012004852720448702
24.0,0.011796811191979301
25.0,0.011592374978675003
26.0,0.01139148160119558
27.0,0.01119406966295439
28.0,0.011000078831354504
29.0,0.010809449819349986
30.0,0.010622124367326714
31.0,0.010438045225297211
32.0,0.010257156135404037
33.0,0.010079401814726375
34.0,0.009904727938384594
35.0,0.009733081122937607
36.0,0.009564408910067932
37.0,0.009398659750549505
38.0,0.009235782988493311
39.0,0.00907572884586606
40.0,0.00891844840727712
41.0,0.00876389360502911
42.0,0.00861201720442756
43.0,0.008462772789345145
44.0,0.008316114748036096
45.0,0.008171998259196431
46.0,0.00803037927826578
47.0,0.007891214523966572
48.0,0.007754461465076518
49.0,0.0076200783074303075
50.0,0.007488023981146571
51.0,0.007358258128076195
52.0,0.007230741089468148
53.0,0.007105433893849072
54.0,0.006982298245112899
55.0,0.0068612965108168856
56.0,0.006742391710680465
57.0,0.006625547505283421
58.0,0.006510728184959907
59.0,0.006397898658884953
60.0,0.006287024444350065
61.0,0.006178071656224715
62.0,0.006071006996600433
63.0,0.0059657977446143755
64.0,0.005862411746449253
65.0,0.005760817405506545
66.0,0.0056609836727500185
67.0,0.005562880037216603
68.0,0.005466476516691679
69.0,0.005371743648545995
70.0,0.005278652480731357
71.0,0.00518717456293237
72.0,0.005097281937871518
73.0,0.005008947132764918
74.0,0.0049221431509261565
75.0,0.004836843463515614
76.0,0.004753022001432785
77.0,0.004670653147349101
78.0,0.004589711727878807
79.0,0.004510173005885544
80.0,0.0044320126729222266
81.0,0.004355206841801957
82.0,0.004279732039297673
83.0,0.004205565198968316
84.0,0.004132683654109315
85.0,0.004061065130825234
86.0,0.003990687741222482
87.0,0.00392152997671998
88.0,0.0038535707014757505
89.0,0.003786789145927441
90.0,0.003721164900444766
91.0,0.003656677909091966
92.0,0.003593308463498355
93.0,0.0035310371968350937
94.0,0.0034698450778963435
95.0,0.0034097134052829864
96.0,0.003350623801687153
97.0,0.003292558208275783
98.0,0.0032354988791715297
99.0,0.0031794283760293043
100.0,0.0031243295627068025
101.0,0.0030701856000274036
102.0,0.0030169799406338104
103.0,0.002964696323930887
104.0,0.002913318771116133
105.0,0.002862831580296274
106.0,0.002813219321688486
107.0,0.0027644668329047796
108.0,0.002716559214318103
109.0,0.0026694818245087556
110.0,0.0026232202757897026
111.0,0.00257776042980945
112.0,0.0025330883932311076
113.0,0.0024891905134863403
114.0,0.002446053374602901
115.0,0.0024036637931044696
116.0,0.0023620088139815498
117.0,0.0023210757067321885
118.0,0.002280851961471304
119.0,0.0022413252851074487
120.0,0.002202483597585818
121.0,0.0021643150281963706
122.0,0.0021268079119459316
123.0,0.002089950785993161
124.0,0.0020537323861453036
125.0,0.0020181416434156573
126.0,0.0019831676806406893
127.0,0.0019487998091557838
128.0,0.0019150275255285926
129.0,0.0018818405083490053
130.0,0.0018492286150747395
131.0,0.0018171818789315967
132.0,0.0017856905058674464
133.0,0.0017547448715589833
134.0,0.0017243355184703663
135.0,0.0016944531529628245
136.0,0.0016650886424543598
137.0,0.001636233012628666
138.0,0.0016078774446924159
139.0,0.0015800132726800844
140.0,0.0015526319808054755
141.0,0.0015257252008591426
142.0,0.0014992847096509205
143.0,0.0014733024264967692
144.0,0.0014477704107491737
145.0,0.0014226808593703396
146.0,0.0013980261045474496
147.0,0.0013737986113492408
148.0,0.0013499909754231953
149.0,0.0013265959207326412
150.0,0.0013036062973330658
151.0,0.0012810150791869614
152.0,0.0012588153620165497
153.0,0.0012370003611937076
154.0,0.0012155634096664657
155.0,0.0011944979559214374
156.0,0.0011737975619815618
157.0,0.0011534559014385434
158.0,0.0011334667575193871
159.0,0.0011138240211864437
160.0,0.0010945216892703801
161.0,0.0010755538626355014
162.0,0.001056914744376873
163.0,0.0010385986380486818
164.0,0.0010205999459233022
165.0,0.0010029131672805289
166.0,0.0009855328967264612
167.0,0.0009684538225415193
168.0,0.0009516707250570844
169.0,0.0009351784750602797
170.0,0.0009189720322263893
171.0,0.0009030464435784462
172.0,0.0008873968419735132
173.0,0.0008720184446151997
174.0,0.0008569065515919529
175.0,0.0008420565444406806
176.0,0.0008274638847352682
177.0,0.0008131241126995545
178.0,0.000799032845844344
179.0,0.0007851857776280417
180.0,0.000771578676140497
181.0,0.0007582073828096559
182.0,0.0007450678111306282
183.0,0.0007321559454167793
184.0,0.0007194678395724644
185.0,0.0007069996158870313
186.0,0.0006947474638497242
187.0,0.0006827076389851228
188.0,0.0006708764617087645
189.0,0.0006592503162025979
190.0,0.0006478256493099249
191.0,0.0006365989694494925
192.0,0.0006255668455484032
193.0,0.0006147259059935189
194.0,0.0006040728376010358
195.0,0.0005936043846039155
196.0,0.0005833173476568665
197.0,0.0005732085828585661
198.0,0.0005632750007908291
199.0,0.0005535135655744253
200.0,0.0005439212939412629
201.0,0.0005344952543226474
202.0,0.000525232565953342
203.0,0.0005161303979911551
204.0,0.000507185968651785
205.0,0.0004983965443586556
206.0,0.0004897594389074887
207.0,0.00048127201264535106
