Wall time,Step,Value
1533420222.8949287,1,3.993319272994995
1533420997.0063426,101,0.6448605060577393
1533421765.9489837,201,0.5058627128601074
1533422560.3044963,301,0.3505247235298157
1533423352.5566862,401,0.3444008231163025
1533424124.3777308,501,0.27425411343574524
1533424915.3057861,601,0.24934615194797516
1533425714.6309116,701,0.1298786997795105
1533426724.169233,801,0.14809459447860718
1533427494.6848187,901,0.009726658463478088
1533428287.1289654,1001,0.01277567632496357
1533429074.480257,1101,0.014561415649950504
1533430066.8756802,1201,0.04171431064605713
1533430823.6692843,1301,0.04905552417039871
1533431604.7147865,1401,0.04480589181184769
1533432384.5080485,1501,0.019728317856788635
1533433159.9574447,1601,0.0028367596678435802
1533433929.854358,1701,0.024370020255446434
1533434714.2164679,1801,0.003092733211815357
1533435496.479667,1901,0.01448888424783945
