Wall time,Step,Value
1533420147.804156,1,2.9953927993774414
1533420826.6471019,101,0.8139115571975708
1533421534.6717358,201,0.75316321849823
1533422259.4909692,301,0.4555653929710388
1533422975.0885584,401,0.6526354551315308
1533423694.5662165,501,0.49407294392585754
1533424409.6232312,601,0.46382683515548706
1533425148.6904898,701,0.1980077177286148
1533425857.4251845,801,0.2201201468706131
1533426604.636391,901,0.19946688413619995
1533427312.3143592,1001,0.16461527347564697
1533428056.8045547,1101,0.3554632365703583
1533428764.6283512,1201,0.1733182668685913
1533429489.793286,1301,0.15701723098754883
1533430201.9265428,1401,0.12461800873279572
1533430865.6607327,1501,0.08012569695711136
1533431540.045138,1601,0.0765194222331047
1533432212.985153,1701,0.045849379152059555
1533432861.1370623,1801,0.14242392778396606
1533433504.7158895,1901,0.06054725870490074
