bins,pdf
2.0,0.1946857805106201
3.0,0.10872300804702763
4.0,0.07191277373945436
5.0,0.05218708788018043
6.0,0.04015995958951029
7.0,0.03218120301726908
8.0,0.026563044375086522
9.0,0.022427480826625906
10.0,0.019276796862129922
11.0,0.01680972932022728
12.0,0.014834232267869932
13.0,0.013222632346508912
14.0,0.01188704981521789
15.0,0.010765199876772413
16.0,0.009811821875057178
17.0,0.008993308900685656
18.0,0.008284232931655325
19.0,0.007665032773865767
20.0,0.007120437494366225
21.0,0.006638367780767907
22.0,0.00620915537876704
23.0,0.005824978797552442
24.0,0.005479448914450385
25.0,0.005167300299250582
26.0,0.004884158286653172
27.0,0.004626361110346633
28.0,0.00439082259397345
29.0,0.004174925080505575
30.0,0.0039764351611498725
31.0,0.003793436774448623
32.0,0.0036242776674402545
33.0,0.0034675262283683237
34.0,0.0033219364375137264
35.0,0.003186419222378793
36.0,0.003060018902544186
37.0,0.0029418937074528096
38.0,0.0028312995747650014
39.0,0.002727576607341297
40.0,0.0026301376973463827
41.0,0.0025384589265495415
42.0,0.0024520714300015605
43.0,0.0023705544713223687
44.0,0.002293529525860943
45.0,0.0022206552059953737
46.0,0.00215162289308878
47.0,0.002086152964820542
48.0,0.0020239915260800174
49.0,0.001964907567345681
50.0,0.0019086904872518487
51.0,0.0018551479264702505
52.0,0.0018041038685750902
53.0,0.001755396970587232
54.0,0.001708879091697299
55.0,0.0016644139934797872
56.0,0.001621876188914949
57.0,0.001581149920879451
58.0,0.0015421282535690536
59.0,0.0015047122626722907
60.0,0.0014688103121007472
61.0,0.001434337406761934
62.0,0.0014012146122863265
63.0,0.0013693685338329235
64.0,0.0013387308471322639
65.0,0.0013092378758107418
66.0,0.0012808302097988727
67.0,0.0012534523602784355
68.0,0.0012270524471854906
69.0,0.0012015819157717039
70.0,0.0011769952791466165
71.0,0.0011532498840880333
72.0,0.0011303056977245934
73.0,0.001108125112970662
74.0,0.0010866727708346315
75.0,0.001065915397932453
76.0,0.001045821657722877
77.0,0.0010263620141429401
78.0,0.0010075086064647817
79.0,0.0009892351343204066
80.0,0.0009715167519518062
81.0,0.0009543299708417463
82.0,0.0009376525699672113
83.0,0.0009214635129943368
84.0,0.0009057428718018953
85.0,0.0008904717557810826
86.0,0.0008756322464133843
87.0,0.0008612073366765005
