Wall time,Step,Value
1534992173.1251464,1,4.639158725738525
1534992545.2261524,101,1.364999771118164
1534992760.4850247,201,0.7447822093963623
1534993133.2776945,301,0.9331969022750854
1534993352.6907303,401,0.4864303469657898
1534993555.8207748,501,0.6400808095932007
1534993916.2926412,601,0.6579837799072266
1534994129.0119662,701,0.4406401216983795
1534994492.125387,801,0.509716272354126
1534994700.5694568,901,0.5252335071563721
1534995059.289167,1001,0.36747312545776367
1534995272.9577432,1101,0.47528886795043945
1534995468.567786,1201,0.3510587215423584
1534995821.2477362,1301,0.6126081347465515
1534996030.9579542,1401,0.5896902680397034
1534996383.1599855,1501,0.6832733750343323
1534996589.7225106,1601,0.4342353940010071
1534996946.6398778,1701,0.4375949501991272
1534997144.2213583,1801,0.6116589307785034
1534997353.3702786,1901,0.4838913679122925
