Wall time,Step,Value
1534947274.4479322,1,1.6824785470962524
1534947909.9420433,101,0.5183016061782837
1534948529.1014662,201,0.48693543672561646
1534949166.3090205,301,0.4038524031639099
1534949803.448784,401,0.4524392783641815
1534950206.5992596,501,0.5336735844612122
1534950839.4229925,601,0.5230953693389893
1534951468.0340805,701,0.29518258571624756
1534952098.0037134,801,0.3656958341598511
1534952730.6414416,901,0.35868901014328003
1534953365.2087924,1001,0.24447157979011536
1534954024.1225057,1101,0.34358838200569153
1534954436.9171798,1201,0.2567649781703949
1534955076.0097594,1301,0.5148816108703613
1534955725.7450333,1401,0.4301682710647583
1534956378.5730798,1501,0.3530983626842499
1534957027.7074707,1601,0.2133169174194336
1534957672.1201844,1701,0.3869211673736572
1534958327.8222444,1801,0.4032898545265198
1534958754.1765897,1901,0.2667914628982544
